賣地/招標,賣地方式,地點, 用途, 面积/平方米,地价/百万元
2011 年 6 月 20 日,招標,九龍紅磡機利士,住宅(甲類),582.3,406.3
2011 年 6 月 20 日,招標,九龍紅磡利工街,住宅(甲類),1 298.7,801
2011 年 7 月 11 日,招標,九 龍 觀 塘 偉 業,商貿,7 083,3 528
2011 年 7 月 11 日,招標,香 港 灣 仔 皇 后,酒店,717,648
2011 年 7 月 28 日,招標,大 嶼 山 東 涌 第,住宅(乙類),25 400,3 770
2011 年 7 月 28 日,招標,九龍灣啓祥道與,商業,6 600,3 432.201234
2011 年 7 月 29 日,招標,新界西貢對面海,商業,1 659.4,55.275
2011 年 8 月 4 日 招標,,九龍紅磡紅鸞道,商業,13 703,4 028
2011 年 8 月 9 日 拍賣,,新界沙田九肚第,住宅(乙類),23 056,5 500
2011 年 8 月 25 日 招標,,香港北角油街,酒店及住宅,7 887,6 267.2
2011 年 9 月 6 日 拍賣,,新 界 將 軍 澳 第,住宅(乙類),13 393,3 120
2011 年 9 月 6 日 拍賣,,西貢白石窩,住宅(丙類),2 400,121.5
2011 年 9 月 6 日 拍賣,,新界元朗丹桂村,住宅(丙類),11 192,361
2011 年 10 月 4 日 招標,,香港赤柱海風徑,住宅(丙類),615.2,121.111
2011 年 10 月 4 日 招標,,新界西貢甲邊朗,住宅(丁類),1 733,55
2011 年 10 月 27 日 招標,,新界西貢西貢市,酒店,17 940,719.3
2011 年 11 月 10 日 招標,,香港南灣道近 35,住宅(丙類),1 338,498.88
2011 年 11 月 10 日 招標,,新界沙田石門安,商貿,7 997,828
2011 年 12 月 8 日 招標,,新界沙田石門安,商貿,6 540,680.1
2011 年 12 月 8 日 招標,,新 界 大 嶼 山 長,住宅(丁類),7 410,176.8
2011 年 12 月 8 日 招標,,新 界 大 嶼 山 長,住宅(丁類),7 550,180
2011 年 12 月 8 日 招標,,香港淺水灣南灣,加油站,1 340,112.78
2011 年 12 月 8 日 招標,,香港黃竹坑道 22,加油站,383.9,128.16
